insert into Alumnos (idAlumnado, Nombre, Apellidos, FechaNacimiento, Antiguedad) values (1, 'Lynna', 'Flaws', '2022-01-26', 1);
insert into Alumnos (idAlumnado, Nombre, Apellidos, FechaNacimiento, Antiguedad) values (40, 'Myranda', 'Clancey', '2021-12-19', 40);
insert into Alumnos (idAlumnado, Nombre, Apellidos, FechaNacimiento, Antiguedad) values (41, 'Mair', 'Rosa', '2022-04-26', 41);
insert into Alumnos (idAlumnado, Nombre, Apellidos, FechaNacimiento, Antiguedad) values (42, 'Anallese', 'Caplen', '2022-02-26', 42);
insert into Alumnos (idAlumnado, Nombre, Apellidos, FechaNacimiento, Antiguedad) values (43, 'Eleonore', 'Cottham', '2022-04-27', 43);
insert into Alumnos (idAlumnado, Nombre, Apellidos, FechaNacimiento, Antiguedad) values (44, 'Michale', 'Camoys', '2022-04-29', 44);
insert into Alumnos (idAlumnado, Nombre, Apellidos, FechaNacimiento, Antiguedad) values (45, 'Enrica', 'Valti', '2022-09-28', 45);
insert into Alumnos (idAlumnado, Nombre, Apellidos, FechaNacimiento, Antiguedad) values (46, 'Leia', 'Aluard', '2022-07-27', 46);
insert into Alumnos (idAlumnado, Nombre, Apellidos, FechaNacimiento, Antiguedad) values (47, 'Casey', 'Tatam', '2022-01-02', 47);
insert into Alumnos (idAlumnado, Nombre, Apellidos, FechaNacimiento, Antiguedad) values (48, 'Kalindi', 'Crumpton', '2022-04-30', 48);
insert into Alumnos (idAlumnado, Nombre, Apellidos, FechaNacimiento, Antiguedad) values (49, 'Ernestus', 'Buggs', '2022-01-25', 49);
insert into Alumnos (idAlumnado, Nombre, Apellidos, FechaNacimiento, Antiguedad) values (50, 'Dennie', 'Tideswell', '2022-04-08', 50);
